Year,Current province that you follow online academic activities,EaseOfAccess,CommunicationFlexibility,ContentWorkload,Assesment,OverallSatisfaction
1st year,Central,5,2,3,2,5
3rd year,Southern,4,3,3,3,4
2nd year,Central,2,5,1,5,1
2nd year,Central,4,2,1,2,4
4th year,Western,5,5,4,4,4
2nd year,Western,5,5,3,3,2
4th year,Uva,5,3,5,5,4
2nd year,Northern,4,3,3,3,3
2nd year,Sabaragamuwa,4,4,5,5,5
2nd year,Eastern,5,5,3,3,2
